Size;abs_energy;abs_max;abs_sum_of_changes;avg_dev;count_above_mean;count_below_mean;first_location_of_max;first_location_of_min;interquartile_range;kurtosis;last_location_of_max;last_location_of_min;max;mean;mean_abs_change;mean_abs_dev;mean_change;mean_geometric_abs;median;median_abs_dev;median_abs_diff;median_diff;min;negative_turnings;non_zero_count;positive_turnings;root_mean_square;skewness;std_dev;sum;var;zero_cross;mean_n_abs_max;change_quantile;range_count;count_above;count_below;quantile;autocorrelation
10;50;48;172;60;180;174;177;174;334;86;178;176;51;47;56;56;56;220;132;203;134;134;47;173;53;174;171;84;66;45;55;54;240;557;340;54;58;135;242
20;52;50;181;63;211;177;178;214;368;94;185;183;52;49;65;58;64;231;147;271;194;192;48;184;54;184;199;89;69;47;58;94;259;548;314;55;60;152;228
30;53;53;190;65;213;179;180;215;391;103;192;189;53;50;74;61;74;242;158;307;198;194;50;195;56;195;172;128;72;49;61;103;275;561;344;57;61;164;269
40;53;55;199;68;187;182;200;188;392;112;198;195;55;51;115;65;86;283;170;318;229;220;50;234;58;207;173;109;74;48;64;86;291;577;318;59;63;178;254
50;55;56;208;70;219;185;201;189;466;121;234;202;56;52;96;67;94;265;187;361;264;259;52;217;60;219;175;145;81;51;67;122;309;627;350;60;65;201;295
60;56;59;245;73;194;216;202;240;493;129;212;209;55;53;104;69;103;318;204;402;293;286;54;226;62;231;175;125;84;51;70;104;329;615;352;62;97;215;309
70;58;61;257;76;206;194;233;224;520;135;221;219;61;55;118;72;112;359;215;464;359;353;56;240;91;272;180;131;83;53;70;116;382;663;327;72;68;227;292
80;59;63;265;78;210;223;207;226;576;142;255;225;62;56;127;74;121;344;242;482;360;364;57;253;67;254;208;137;86;54;72;126;395;693;328;74;70;254;305
90;60;65;247;82;214;199;209;227;566;150;235;232;60;56;137;81;130;385;251;540;429;400;60;263;69;266;182;146;119;55;75;136;389;702;330;81;72;264;317
100;61;67;284;84;217;201;211;256;643;157;270;239;65;58;172;84;139;366;270;603;428;429;61;273;71;278;183;153;91;56;80;145;448;727;331;84;74;288;357
150;67;81;302;98;237;215;263;199;826;198;303;272;73;63;214;125;184;465;364;793;629;612;69;330;81;332;189;191;104;62;122;193;510;821;341;97;87;377;393
200;71;90;347;143;256;230;298;207;1015;238;309;306;81;69;241;110;229;591;491;1031;810;789;80;412;91;388;194;256;116;67;106;242;612;925;349;110;98;475;485
300;86;111;438;137;294;286;286;222;1517;317;376;373;124;83;324;137;317;788;700;1526;1216;1196;95;496;138;527;233;302;141;81;131;338;846;1203;367;165;120;712;610
400;97;132;528;160;333;286;301;238;1841;424;471;468;112;93;432;164;406;983;890;2058;1657;1529;111;636;132;637;216;411;167;93;156;435;1107;1346;385;135;142;902;738
500;109;179;618;190;372;314;317;254;2315;504;538;535;128;105;505;190;496;1181;1107;2519;2082;1949;154;745;149;722;226;460;191;104;181;533;1307;1575;429;221;165;113;864
600;119;172;737;252;410;370;333;269;2785;553;606;603;170;116;633;217;612;1386;1338;3049;2451;2296;142;858;173;860;238;563;243;115;206;629;1531;1843;419;221;188;1351;962
700;130;193;800;243;476;370;376;285;3185;662;673;642;159;126;718;244;700;1606;1573;3571;2907;2650;158;970;219;969;248;668;241;152;258;754;1774;2093;464;187;210;1617;1118
800;141;213;919;297;487;426;364;300;4116;742;740;737;202;137;840;270;763;1805;2010;4333;3275;3208;174;1083;213;1079;287;689;266;136;256;841;2095;2539;453;204;260;2053;1306
900;152;234;1009;296;594;427;407;315;4217;822;807;804;187;148;935;297;879;2003;2079;4793;3695;3582;217;1195;234;1189;270;793;318;147;281;944;2385;2616;471;303;256;2073;1370
1000;163;254;1099;323;590;455;424;359;4729;927;846;871;206;159;1019;323;968;2220;2317;5379;4108;3854;205;1307;254;1300;281;870;343;158;305;1041;2653;2841;518;265;279;2369;1523
1100;174;273;1190;349;628;483;438;347;5295;982;941;939;221;170;1091;349;1057;2392;2601;5889;4589;4341;248;1445;301;1411;320;958;341;196;331;1143;2851;3149;533;255;302;2623;1623
1200;185;294;1281;403;639;511;455;391;5807;1062;1009;1006;237;182;1192;376;1146;2585;2870;6397;4912;4734;236;1556;294;1546;331;1036;366;180;356;1227;3097;3430;522;385;324;2841;1776
1300;196;341;1371;402;704;567;442;379;6091;1141;1076;1073;253;192;1316;402;1235;2824;3031;6933;5365;5055;252;1669;315;1658;314;1153;461;191;381;1339;3407;3649;540;289;310;3018;1876
1400;207;362;1462;429;742;607;457;394;6749;1221;1143;1168;268;204;1432;455;1351;2995;3353;7516;5839;5613;267;1781;335;1766;353;1230;497;202;406;1461;3639;3941;584;307;345;3397;2029
1500;218;355;1579;483;781;596;501;438;7259;1301;1210;1235;284;214;1463;455;1413;3175;3561;8253;6185;5952;284;1892;383;1851;336;1323;441;240;430;1510;3979;4200;602;323;393;3599;2155
1600;228;375;1671;483;820;699;488;426;7695;1406;1278;1274;300;225;1602;509;1528;3356;3825;8776;6646;6304;325;2003;375;1988;347;1395;466;251;455;1603;4141;4427;619;340;414;3813;2281
1700;239;396;1762;509;912;700;532;469;8201;1460;1371;1342;342;237;1661;536;1617;3539;4060;9179;7097;6771;341;2116;396;2126;358;1473;519;234;481;1740;4471;4682;635;521;438;4127;2483
1800;251;442;1850;563;896;708;520;456;8543;1540;1412;1409;331;247;1770;535;1681;3751;4300;9875;7516;7199;330;2229;443;2207;397;1482;516;284;533;1822;4615;4889;626;375;460;4292;2567
