size;data_transfer;feature_transfer;param_transfer;abs_energy;abs_max;abs_sum_of_changes;avg_dev;count_above_mean;count_below_mean;first_location_of_max;first_location_of_min;interquartile_range;kurtosis;last_location_of_max;last_location_of_min;max;mean;mean_abs_change;mean_abs_dev;mean_change;mean_geometric_abs;median;median_abs_dev;median_abs_diff;median_diff;min;negative_turnings;non_zero_count;positive_turnings;root_mean_square;skewness;std_dev;sum;var;zero_cross;mean_n_abs_max;change_quantile;range_count;count_above;count_below;quantile;autocorrelation
100;82723;365;8501;61;94;216;108;165;165;179;154;607;187;228;202;89;56;137;81;135;382;265;603;444;415;61;235;67;236;145;155;93;56;84;139;352;636;261;69;74;265;313
200;164280;332;8485;71;88;324;107;193;193;255;170;998;245;284;314;77;68;228;107;225;598;472;1024;832;817;76;389;87;394;156;238;125;67;115;234;581;845;300;86;91;522;456
300;246081;303;8536;82;107;425;134;222;221;298;186;1523;359;380;381;93;79;346;160;342;795;746;1566;1265;1253;92;484;136;488;196;348;156;79;146;373;826;1126;353;104;135;760;617
400;327913;360;8523;93;128;531;160;250;267;287;201;1836;472;420;459;108;89;426;160;420;992;909;2086;1718;1562;108;622;128;626;178;459;187;89;178;478;1079;1273;345;122;125;932;737
500;410527;366;8518;104;176;650;187;295;295;301;244;2311;528;498;515;124;129;544;214;548;1218;1142;2585;2136;1986;123;750;148;755;189;511;247;100;236;561;1320;1517;410;139;142;1176;898
600;492726;332;8532;115;169;713;213;334;366;342;232;2773;655;564;609;140;111;619;213;609;1388;1416;3106;2541;2341;138;862;168;864;201;635;250;111;241;640;1550;1794;404;156;160;1390;1023
700;574834;331;8477;154;189;831;283;360;443;339;264;3198;735;659;676;183;122;784;268;741;1633;1587;3665;2930;2717;154;974;189;989;230;716;325;150;272;777;1788;2018;426;201;203;1620;1190
800;657701;424;8446;137;236;921;321;398;464;414;280;4111;820;715;744;171;133;845;283;830;1834;2052;4457;3303;3292;170;1086;210;1084;278;805;364;133;358;872;2082;2450;478;190;194;2085;1298
900;740190;398;8504;148;229;1013;320;489;418;365;297;4208;915;809;811;186;144;935;321;919;2035;2111;4836;3806;3644;186;1198;230;1217;250;884;357;144;359;968;2404;2503;473;207;211;2140;1430
1000;822917;331;8481;186;250;1103;363;489;501;390;337;4819;1038;874;876;281;155;1068;364;1008;2251;2419;5503;4239;4001;202;1352;250;1358;270;964;403;182;388;1062;2646;2839;537;252;228;2402;1596
1100;905019;360;8510;169;325;1193;362;536;563;448;328;5393;1091;944;982;290;166;1158;401;1098;2437;2682;6082;4562;4451;217;1437;325;1469;311;1056;452;166;414;1157;2894;3109;546;241;272;2705;1724
1200;986775;321;8501;181;290;1284;389;553;544;421;346;5691;1178;1011;1013;233;176;1221;400;1186;2661;2861;6525;5046;4781;233;1572;318;1571;293;1117;465;177;497;1252;3077;3285;541;259;263;2875;1872
1300;1068596;331;8481;208;338;1418;470;556;618;464;368;6352;1263;1076;1077;294;188;1334;444;1275;2860;3154;7242;5699;5383;248;1667;338;1682;304;1229;524;215;475;1389;3386;3627;590;327;332;3166;2003
1400;1150605;363;8520;203;385;1492;469;586;587;469;414;6643;1374;1173;1174;282;226;1474;442;1391;3055;3313;7608;5947;5707;369;1795;386;1796;306;1329;555;198;528;1456;3599;3795;616;313;363;3313;2138
1500;1233056;332;8504;213;379;1599;523;666;696;468;399;7426;1433;1211;1239;280;210;1513;522;1454;3236;3730;8259;6287;6132;280;1904;379;1903;327;1429;591;209;532;1536;3882;4216;654;344;369;3741;2264
1600;1315305;358;8532;225;427;1663;534;640;641;511;431;7736;1533;1278;1334;313;220;1655;522;1569;3453;3873;9014;6848;6427;350;2016;426;2017;326;1487;537;221;588;1646;4289;4349;647;393;347;3888;2419
1700;1397475;331;8503;235;419;1780;576;644;686;540;432;8285;1686;1348;1365;329;231;1695;576;1632;3600;4137;9460;7157;6933;339;2129;420;2179;339;1594;653;231;612;1767;4477;4633;699;372;365;4126;2523
1800;1479919;354;8546;247;439;1872;604;715;817;558;445;8742;1721;1413;1457;355;242;1874;603;1764;3840;4358;10059;7532;7397;355;2242;484;2259;358;1650;681;243;674;1863;4852;4897;705;411;409;4334;2696
1900;1562659;397;8540;285;449;1962;603;743;755;557;477;9385;1823;1496;1497;398;253;1970;613;1853;4032;4675;10546;8062;7969;359;2382;477;2390;359;1734;683;281;690;1956;4983;5224;745;426;486;4724;2824
2000;1644812;351;8471;313;481;2052;656;779;771;548;605;10204;1886;1550;1594;386;309;2038;613;1942;4218;5123;11356;8600;8212;385;2510;480;2465;425;1822;738;308;704;2052;5323;5690;768;456;514;5140;2954
