size,data_transfer,feature_transfer,param_transfer,abs_energy,abs_max,abs_sum_of_changes,avg_dev,count_above_mean,count_below_mean,first_location_of_max,first_location_of_min,interquartile_range,kurtosis,last_location_of_max,last_location_of_min,max,mean,mean_abs_changes,mean_abs_dev,mean_changes,mean_geometric_abs,median,median_abs_changes,median_abs_dev,median_changes,min,negative_turnings,non_zero_count,positive_turnings,root_mean_square,skewness,std_dev,sum,var,zero_cross,mean_n_abs_max,change_quantile,range_count,count_above,count_below,quantile,autocorrelation
10,11992,111,2599,30,28,153,42,155,153,160,158,326,66,161,158,32,26,154,41,35,145,105,232,197,120,27,183,32,156,151,65,45,28,36,35,255,581,325,67,73,180,231
20,28811,92,2605,31,32,163,45,158,158,166,159,358,74,168,166,33,28,163,45,44,145,122,264,260,153,30,167,35,167,152,73,74,29,39,45,301,598,327,69,76,168,244
30,45121,93,2607,31,34,171,49,161,161,173,161,354,82,204,173,36,28,172,48,54,145,135,302,291,207,32,177,65,179,152,80,50,31,42,54,294,612,328,70,82,180,256
40,61786,93,2605,33,36,207,52,164,165,201,163,387,118,184,207,38,29,181,52,63,145,151,355,302,216,34,187,40,190,153,85,52,32,44,64,300,601,358,72,84,196,269
50,78406,93,2605,34,38,217,56,167,169,217,165,426,99,191,215,40,31,190,56,72,145,197,361,370,274,35,199,70,229,155,96,55,33,47,73,326,650,331,74,87,243,282
60,95114,93,2605,35,41,227,59,169,173,219,167,451,107,198,194,42,32,200,59,110,145,209,392,405,282,38,237,45,213,155,103,88,35,49,86,342,635,361,75,90,228,294
70,111909,93,2605,36,44,235,63,172,176,220,170,487,115,206,202,44,33,208,62,92,145,228,424,446,306,40,248,47,224,157,110,60,36,51,95,388,655,362,80,120,246,306
80,128187,92,2604,37,47,244,66,175,180,223,172,517,122,213,209,46,34,217,66,101,145,215,465,456,338,42,231,50,235,185,115,62,38,54,105,386,698,337,83,95,289,320
90,144863,93,2607,38,49,253,70,178,184,225,174,537,130,220,216,48,35,226,69,111,145,222,501,493,374,44,243,52,246,187,126,65,38,56,115,404,711,339,84,92,272,332
100,161485,93,2603,40,52,262,73,181,188,227,175,610,138,229,223,50,36,236,74,119,172,248,557,537,436,46,255,52,284,160,134,98,40,90,124,414,735,368,86,100,321,345
200,326571,91,2606,50,79,353,109,237,226,260,196,1030,218,331,325,71,47,326,109,208,146,458,904,1058,771,66,365,80,396,171,210,96,85,88,218,633,960,357,104,155,531,471
300,491753,92,2605,61,105,416,173,237,264,307,216,1414,298,406,399,91,58,417,145,297,145,677,1307,1543,1143,90,477,106,506,182,314,121,68,112,312,864,1166,375,121,182,724,628
400,657377,92,2606,73,152,506,182,266,329,300,237,1843,405,453,466,111,69,507,181,386,145,878,1737,2041,1483,105,615,130,617,193,390,147,85,137,407,1152,1378,393,138,209,924,752
500,824224,92,2605,86,162,597,218,294,367,321,256,2299,484,528,540,131,84,598,230,503,145,1106,2108,2561,1875,120,725,155,729,231,437,171,96,190,528,1334,1650,410,155,235,1153,851
600,991159,91,2603,98,206,687,253,349,378,341,277,2808,564,603,582,151,95,688,243,591,172,1348,2560,3071,2248,151,837,180,839,251,517,223,114,187,597,1595,1903,426,173,179,1420,1005
700,1156676,93,2607,108,205,806,290,351,417,388,325,3159,617,706,655,172,105,779,317,680,145,1549,2924,3520,2692,151,950,206,948,253,593,220,128,212,718,1832,2093,444,189,286,1595,1132
800,1323497,93,2604,119,256,906,326,378,483,381,317,3742,692,782,754,192,116,897,325,743,145,1827,3322,4202,3066,191,1062,230,1058,237,696,245,129,265,813,2159,2412,462,206,318,1873,1285
900,1490777,93,2607,130,254,1004,389,406,521,402,338,4162,803,856,826,212,127,988,361,859,145,2037,3780,4698,3507,212,1175,252,1168,275,746,271,156,263,907,2397,2637,506,224,319,2083,1385
1000,1658216,92,2603,142,280,1079,394,460,531,454,386,4651,883,931,909,233,138,1078,424,947,145,2267,4194,5244,3843,198,1286,308,1279,286,850,296,170,287,1003,2676,2880,496,240,374,2339,1556
